Ê±¼ä,Inbound,Outbound
2021/6/1 22:25,20832680022,80687860645
2021/6/1 22:30,21791313731,80244829155
2021/6/1 22:35,22161819018,80802621175
2021/6/1 22:40,22143647282,79297257917
2021/6/1 22:45,22401954380,79761717661
2021/6/1 22:50,21990488329,79128438304
2021/6/1 22:55,22219307614,80138524920
2021/6/1 23:00,22402775405,82556100281
2021/6/1 23:05,22822383727,85730216993
2021/6/1 23:10,22776937146,85281892443
2021/6/1 23:15,22598931804,82721118375
2021/6/1 23:20,22125291559,81391544384
2021/6/1 23:25,21566125371,80184763035
2021/6/1 23:30,21253411177,79740210391
2021/6/1 23:35,21289798889,79561270194
2021/6/1 23:40,20904305302,79991990801
2021/6/1 23:45,20563255811,78819515033
2021/6/1 23:50,19972603789,77905092327
2021/6/1 23:55,19620077582,77187291531
2021/6/2 0:00,19291331508,74757438916
2021/6/2 0:05,19168448495,75878439368
2021/6/2 0:10,18902223001,76037584399
2021/6/2 0:15,18397628605,75931433882
2021/6/2 0:20,18500915494,74451780321
2021/6/2 0:25,18051822731,72947948117
2021/6/2 0:30,17669691762,71479569230
2021/6/2 0:35,17306402726,70789284525
2021/6/2 0:40,17085400698,69737280698
2021/6/2 0:45,16194638602,67007908744
2021/6/2 0:50,15932732836,65006050699
2021/6/2 0:55,14953091553,61851377355
2021/6/2 1:00,14484641028,60768247416
2021/6/2 1:05,14398828581,62862630547
2021/6/2 1:10,14180588539,64362728670
2021/6/2 1:15,13786613969,62840745546
2021/6/2 1:20,13797398785,61500529180
2021/6/2 1:25,13350132602,60018983835
2021/6/2 1:30,13792936293,59298255365
2021/6/2 1:35,13314192768,56964548109
2021/6/2 1:40,12657484367,53032304001
2021/6/2 1:45,12403186650,50400345201
2021/6/2 1:50,12074661691,51739209746
2021/6/2 1:55,11615575643,51480843628
2021/6/2 2:00,11880846244,53334369246
2021/6/2 2:05,13384678488,57640259778
2021/6/2 2:10,13753446436,57498913486
2021/6/2 2:15,13524946028,54511829567
2021/6/2 2:20,13888340525,49836734499
2021/6/2 2:25,13060941714,45457629881
2021/6/2 2:30,12752248472,43687316117
2021/6/2 2:35,12286062143,42848639828
2021/6/2 2:40,12215914578,41672650693
2021/6/2 2:45,12399794604,41469081980
2021/6/2 2:50,12593260620,41513451424
2021/6/2 2:55,12663650388,41263013302
2021/6/2 3:00,13400402237,42175274873
2021/6/2 3:05,12558033604,41001064971
2021/6/2 3:10,11715546597,39168082776
2021/6/2 3:15,11007033696,37174871937
2021/6/2 3:20,10867140984,36413354719
2021/6/2 3:25,10671492443,35211848252
2021/6/2 3:30,10905480186,35534261934
2021/6/2 3:35,11025937042,35300585182
2021/6/2 3:40,10984366478,35316365588
2021/6/2 3:45,10106301855,33566850524
2021/6/2 3:50,9934121535,33023059058
2021/6/2 3:55,9568699943,32155336535
2021/6/2 4:00,9505351333,32001058702
2021/6/2 4:05,9896059328,32036060319
2021/6/2 4:10,9705457409,31478838602
2021/6/2 4:15,10043413103,31550184568
2021/6/2 4:20,11158637855,31240079824
2021/6/2 4:25,11063094975,30356035171
2021/6/2 4:30,10699621069,29381799557
2021/6/2 4:35,11309601948,30190118887
2021/6/2 4:40,10674824069,30291975789
2021/6/2 4:45,10056366552,30615847307
2021/6/2 4:50,9517363703,30041261654
2021/6/2 4:55,9610631839,29952292513
2021/6/2 5:00,9611934878,29754769760
2021/6/2 5:05,10111187492,31450986721
2021/6/2 5:10,9824725709,31138861617
2021/6/2 5:15,9670168486,31236184140
2021/6/2 5:20,9875888169,31480441709
2021/6/2 5:25,9796471126,31420892830
2021/6/2 5:30,9538480277,31007229774
2021/6/2 5:35,9610521932,31407676712
2021/6/2 5:40,9306226111,30811592367
2021/6/2 5:45,9056655272,30667760950
2021/6/2 5:50,8906636048,30564483105
2021/6/2 5:55,8601649796,30098214252
